"S No",Priority,"KPI List",H/L,LYD,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,YTD,"Current Target","Target 2023","Target 2024","Bronze Benchmark",Vision,Pillar
1,1,"Average Time to Solve Safety Tags",L,30.30,17.63,,,,,,,,,,,,17.63,20.00,15.00,10.00,,10,Safety
2,1,"Behavioural Observations Carried Out by Line Management",H,97.35,97.35,,,,,,,,,,,,97.35,94.00,94.00,94.00,,95,Safety
3,1,"Open Safety Tags",L,29.00,28.00,,,,,,,,,,,,28.00,30.00,20.00,10.00,,10,PQ
4,2,"SHE Audits",H,94.54,94.00,,,,,,,,,,,,94.00,93.00,93.00,93.00,,100,Safety
5,2,"PSM Alarm (Boiler, CO2, NH3 and Air)",L,2.08,,,,,,,,,,,,,,4.00,4.00,4.00,,2,PM
6,3,"LSR Compliance",H,100.00,100.00,,,,,,,,,,,,100.00,100.00,100.00,100.00,,100,PM
7,3,"HeiQuest Compliance - Safety",H,100.00,100.00,100.00,,,,,,,,,,,100.00,90.00,95.00,95.00,,95,PM
8,3,"PSM Compliance",H,100.00,100.00,,,,,,,,,,,,100.00,100.00,100.00,100.00,,100,TPM
9,4,"HeiQuest Compliance - Legal",H,100.00,100.00,100.00,,,,,,,,,,,100.00,100.00,100.00,100.00,,100,TPM
10,3,"Safe behaviours",H,99.84,,,,,,,,,,,,,,99.00,99.00,99.00,,99,Safety
11,1,"Water Consumption",L,5.21,4.56,4.93,,,,,,,,,,,4.56,5.00,4.70,3.80,,0,ES
12,1,"Thermal Energy Consumption",L,79.08,69.45,78.40,,,,,,,,,,,69.45,78.20,,,,0,ES
13,2,"Electricity Consumption",L,11.21,9.62,10.80,,,,,,,,,,,9.62,11.20,,,,,ES
14,4,"Land Fill Free",H,100.00,100.00,,,,,,,,,,,,100.00,99.70,99.80,99.80,,100,TPM
15,3,"HeiQuest Compliance - Environment",H,100.00,100.00,100.00,,,,,,,,,,,100.00,99.00,99.00,99.00,,,ES
16,4,"Heirule #6 Compliance",H,100.00,100.00,,,,,,,,,,,,100.00,99.50,99.50,99.50,,99.5,ES
17,4,"Total Recycled Water",H,,,,,,,,,,,,,,,,,,,0,ES
18,1,"People Competency - Engineering",H,79.50,76.00,75.00,,,,,,,,,,,76.00,,,,,0,PM
19,1,"Supply Chain Cost - R&M",L,5.00,2.47,2.52,,,,,,,,,,,2.47,5.52,,,,0,PM
20,1,"No. of BDA solved",H,5.17,4.00,4.00,,,,,,,,,,,4.00,9.00,,,,0,PM
21,2,"PM Conformance to Schedule",H,95.67,99.00,99.00,,,,,,,,,,,99.00,92.00,,,,0,PM
22,1,"(Can) Contribution of Breakdown to OPI",L,10.40,6.80,8.00,,,,,,,,,,,6.80,,,,,0,PM
23,2,"Spare Parts Availability",H,93.52,96.00,95.00,123456.00,123456.00,123456.00,,,,,,,,96.00,90.00,,,,0,PM
24,4,"Roll-out RGB Scale PM System",H,95.00,,,,,,,,,,,,,,,,,,0,PM
25,2,"PM Conformance to Schedule -  PSM",H,93.75,100.00,,,,,,,,,,,,100.00,80.00,80.00,80.00,,80,Safety
26,1,"FTR Finished Product",H,85.50,84.50,87.20,,,,,,,,,,,84.50,90.00,,,,0,PQ
27,2,"FTR Micro",H,89.64,97.01,90.90,,,,,,,,,,,97.01,90.00,,,,0,PQ
28,1,"HOC Audit Score",H,86.02,82.90,93.70,,,,,,,,,,,82.90,88.50,,,,0,PQ
